kind,title,image,audio,attribution,generic,tags
dish,Fruit plate,dish-4.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: fruit plate."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
dish,Bread basket,dish-5.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: bread basket."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
tune,Rising chime,tune-1.svg,tune-1.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: rising chime."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""notes"": ""G,E,D,C,F,A,B,D""}"
tune,Falling chime,tune-2.svg,tune-2.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: falling chime."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""notes"": ""G,E,D,C,F,A,B,D""}"
tune,Gentle alternating tones,tune-3.svg,tune-3.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: gentle alternating tones."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""notes"": ""G,E,D,C,F,A,B,D""}"
tune,Three-note practice,tune-4.svg,tune-4.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: three-note practice."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""notes"": ""G,E,D,C,F,A,B,D""}"
tune,Four-note practice,tune-5.svg,tune-5.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: four-note practice."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""notes"": ""G,E,D,C,F,A,B,D""}"
sound,Soft bell tone,sound-1.svg,sound-1.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: soft bell tone."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
sound,Low bell tone,sound-2.svg,sound-2.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: low bell tone."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
sound,High chime,sound-3.svg,sound-3.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: high chime."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
sound,Gentle alternating tones,sound-4.svg,sound-4.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: gentle alternating tones."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
sound,Rising tones,sound-5.svg,sound-5.wav,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: rising tones."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
activity,Making tea,activity-1.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: making tea."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""steps"": [{""id"": ""activity-1:0"", ""title"": ""Fill the kettle"", ""imageUrl"": ""/content/demo/MN/activity-1-step-1.svg""}, {""id"": ""activity-1:1"", ""title"": ""Boil the water"", ""imageUrl"": ""/content/demo/MN/activity-1-step-2.svg""}, {""id"": ""activity-1:2"", ""title"": ""Add tea leaves"", ""imageUrl"": ""/content/demo/MN/activity-1-step-3.svg""}, {""id"": ""activity-1:3"", ""title"": ""Pour into a cup"", ""imageUrl"": ""/content/demo/MN/activity-1-step-4.svg""}, {""id"": ""activity-1:4"", ""title"": ""Let it cool"", ""imageUrl"": ""/content/demo/MN/activity-1-step-5.svg""}, {""id"": ""activity-1:5"", ""title"": ""Sit comfortably"", ""imageUrl"": ""/content/demo/MN/activity-1-step-6.svg""}, {""id"": ""activity-1:6"", ""title"": ""Enjoy the tea"", ""imageUrl"": ""/content/demo/MN/activity-1-step-7.svg""}]}"
activity,Packing a picnic,activity-2.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: packing a picnic."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""steps"": [{""id"": ""activity-2:0"", ""title"": ""Choose a basket"", ""imageUrl"": ""/content/demo/MN/activity-2-step-1.svg""}, {""id"": ""activity-2:1"", ""title"": ""Pack clean plates"", ""imageUrl"": ""/content/demo/MN/activity-2-step-2.svg""}, {""id"": ""activity-2:2"", ""title"": ""Add fruit"", ""imageUrl"": ""/content/demo/MN/activity-2-step-3.svg""}, {""id"": ""activity-2:3"", ""title"": ""Add bread"", ""imageUrl"": ""/content/demo/MN/activity-2-step-4.svg""}, {""id"": ""activity-2:4"", ""title"": ""Fill a water bottle"", ""imageUrl"": ""/content/demo/MN/activity-2-step-5.svg""}, {""id"": ""activity-2:5"", ""title"": ""Close the basket"", ""imageUrl"": ""/content/demo/MN/activity-2-step-6.svg""}, {""id"": ""activity-2:6"", ""title"": ""Carry the basket"", ""imageUrl"": ""/content/demo/MN/activity-2-step-7.svg""}]}"
activity,Watering a plant,activity-3.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: watering a plant."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""steps"": [{""id"": ""activity-3:0"", ""title"": ""Find the watering can"", ""imageUrl"": ""/content/demo/MN/activity-3-step-1.svg""}, {""id"": ""activity-3:1"", ""title"": ""Fill it with water"", ""imageUrl"": ""/content/demo/MN/activity-3-step-2.svg""}, {""id"": ""activity-3:2"", ""title"": ""Walk to the plant"", ""imageUrl"": ""/content/demo/MN/activity-3-step-3.svg""}, {""id"": ""activity-3:3"", ""title"": ""Water the soil"", ""imageUrl"": ""/content/demo/MN/activity-3-step-4.svg""}, {""id"": ""activity-3:4"", ""title"": ""Let the water soak"", ""imageUrl"": ""/content/demo/MN/activity-3-step-5.svg""}, {""id"": ""activity-3:5"", ""title"": ""Put the can away"", ""imageUrl"": ""/content/demo/MN/activity-3-step-6.svg""}, {""id"": ""activity-3:6"", ""title"": ""Enjoy the plant"", ""imageUrl"": ""/content/demo/MN/activity-3-step-7.svg""}]}"
activity,Setting the table,activity-4.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: setting the table."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""steps"": [{""id"": ""activity-4:0"", ""title"": ""Clear the table"", ""imageUrl"": ""/content/demo/MN/activity-4-step-1.svg""}, {""id"": ""activity-4:1"", ""title"": ""Wipe the surface"", ""imageUrl"": ""/content/demo/MN/activity-4-step-2.svg""}, {""id"": ""activity-4:2"", ""title"": ""Put down plates"", ""imageUrl"": ""/content/demo/MN/activity-4-step-3.svg""}, {""id"": ""activity-4:3"", ""title"": ""Add spoons"", ""imageUrl"": ""/content/demo/MN/activity-4-step-4.svg""}, {""id"": ""activity-4:4"", ""title"": ""Add cups"", ""imageUrl"": ""/content/demo/MN/activity-4-step-5.svg""}, {""id"": ""activity-4:5"", ""title"": ""Bring the food"", ""imageUrl"": ""/content/demo/MN/activity-4-step-6.svg""}, {""id"": ""activity-4:6"", ""title"": ""Sit together"", ""imageUrl"": ""/content/demo/MN/activity-4-step-7.svg""}]}"
activity,Getting ready for a walk,activity-5.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: getting ready for a walk."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""steps"": [{""id"": ""activity-5:0"", ""title"": ""Check the weather"", ""imageUrl"": ""/content/demo/MN/activity-5-step-1.svg""}, {""id"": ""activity-5:1"", ""title"": ""Choose comfortable clothes"", ""imageUrl"": ""/content/demo/MN/activity-5-step-2.svg""}, {""id"": ""activity-5:2"", ""title"": ""Put on shoes"", ""imageUrl"": ""/content/demo/MN/activity-5-step-3.svg""}, {""id"": ""activity-5:3"", ""title"": ""Take a water bottle"", ""imageUrl"": ""/content/demo/MN/activity-5-step-4.svg""}, {""id"": ""activity-5:4"", ""title"": ""Tell a family member"", ""imageUrl"": ""/content/demo/MN/activity-5-step-5.svg""}, {""id"": ""activity-5:5"", ""title"": ""Open the door"", ""imageUrl"": ""/content/demo/MN/activity-5-step-6.svg""}, {""id"": ""activity-5:6"", ""title"": ""Walk slowly"", ""imageUrl"": ""/content/demo/MN/activity-5-step-7.svg""}]}"
word,Cup,word-1.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: cup."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
word,Kettle,word-2.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: kettle."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
word,Basket,word-3.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: basket."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
word,Book,word-4.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: book."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
word,Chair,word-5.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: chair."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
routine_scene,Garden courtyard,change-1-original.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: garden courtyard."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""targets"": [""flower"", ""bird"", ""basket"", ""leaf"", ""bench"", ""lamp""], ""distractors"": [""cloud"", ""stone"", ""path"", ""fence"", ""hat"", ""door"", ""tree"", ""window""], ""variants"": [{""imageUrl"": ""/content/demo/MN/change-1-1.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-1-2.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-1-3.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-1-4.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}, {""id"": ""lamp"", ""title"": ""Lamp"", ""imageUrl"": """"}]}]}"
routine_scene,Market courtyard,change-2-original.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: market courtyard."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""targets"": [""flower"", ""bird"", ""basket"", ""leaf"", ""bench"", ""lamp""], ""distractors"": [""cloud"", ""stone"", ""path"", ""fence"", ""hat"", ""door"", ""tree"", ""window""], ""variants"": [{""imageUrl"": ""/content/demo/MN/change-2-1.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-2-2.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-2-3.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-2-4.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}, {""id"": ""lamp"", ""title"": ""Lamp"", ""imageUrl"": """"}]}]}"
routine_scene,Lakeside path,change-3-original.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: lakeside path."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""targets"": [""flower"", ""bird"", ""basket"", ""leaf"", ""bench"", ""lamp""], ""distractors"": [""cloud"", ""stone"", ""path"", ""fence"", ""hat"", ""door"", ""tree"", ""window""], ""variants"": [{""imageUrl"": ""/content/demo/MN/change-3-1.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-3-2.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-3-3.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-3-4.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}, {""id"": ""lamp"", ""title"": ""Lamp"", ""imageUrl"": """"}]}]}"
routine_scene,Home courtyard,change-4-original.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: home courtyard."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""targets"": [""flower"", ""bird"", ""basket"", ""leaf"", ""bench"", ""lamp""], ""distractors"": [""cloud"", ""stone"", ""path"", ""fence"", ""hat"", ""door"", ""tree"", ""window""], ""variants"": [{""imageUrl"": ""/content/demo/MN/change-4-1.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-4-2.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-4-3.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-4-4.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}, {""id"": ""lamp"", ""title"": ""Lamp"", ""imageUrl"": """"}]}]}"
routine_scene,Community courtyard,change-5-original.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: community courtyard."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""targets"": [""flower"", ""bird"", ""basket"", ""leaf"", ""bench"", ""lamp""], ""distractors"": [""cloud"", ""stone"", ""path"", ""fence"", ""hat"", ""door"", ""tree"", ""window""], ""variants"": [{""imageUrl"": ""/content/demo/MN/change-5-1.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-5-2.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-5-3.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}]}, {""imageUrl"": ""/content/demo/MN/change-5-4.svg"", ""differences"": [{""id"": ""flower"", ""title"": ""Flower"", ""imageUrl"": """"}, {""id"": ""bird"", ""title"": ""Bird"", ""imageUrl"": """"}, {""id"": ""basket"", ""title"": ""Basket"", ""imageUrl"": """"}, {""id"": ""lamp"", ""title"": ""Lamp"", ""imageUrl"": """"}]}]}"
